LimitExceeded,StepsCount,CaloriesConsumed,RoadTravelTime,PhoneCallTime,MaximumTemprature,Age,Weight
No,4565,2430,4,2,22,36,86
No,4640,2112,3,2,29,38,46
No,4815,1923,4,3,31,46,83
No,5078,2606,2,3,41,49,83
No,5748,2688,2,3,31,31,93
No,7479,2232,4,3,38,52,79
No,7063,2403,1,4,17,43,76
No,7272,2554,3,4,17,43,65
No,5550,2072,3,4,11,41,83
No,6382,2136,3,2,29,35,64
No,5031,2309,2,3,31,43,60
No,7578,1701,4,4,40,45,75
No,5113,2293,3,3,23,32,70
No,5864,2120,4,3,22,33,75
No,9331,2303,4,4,39,51,71
Yes,2768,2382,2,3,11,37,69
No,5275,2454,3,3,30,43,60
No,4601,1976,3,2,29,49,75
No,6474,2334,3,3,19,41,73
No,6883,2014,3,2,39,43,74
No,5150,2432,2,3,23,46,75
No,7092,2632,2,3,16,44,87
No,6864,2391,4,3,20,44,71
No,5785,1728,5,2,29,40,86
No,7147,2462,2,4,23,41,80
No,7351,2196,4,3,16,39,85
No,5947,2516,1,4,22,37,56
No,4852,2300,4,4,24,41,68
No,7319,2488,2,3,38,35,82
No,5960,1818,2,2,27,40,80
No,5191,2026,3,2,23,44,83
No,6931,1895,3,4,40,41,83
No,5656,2229,4,3,27,41,85
No,8419,2591,3,2,23,39,70
No,5131,1931,3,4,43,46,74
No,7671,2458,2,2,35,39,75
No,6649,2245,1,3,34,39,76
No,3803,2400,2,3,22,47,85
No,8121,2656,5,3,23,41,91
No,6863,2926,3,1,22,45,74
Yes,3775,2780,3,3,34,44,83
No,6779,2151,2,3,30,37,81
No,6431,2309,4,3,13,46,70
No,6990,2306,3,3,8,35,80
No,5535,2374,2,2,21,37,72
Yes,4440,2147,3,3,7,46,88
No,5368,2442,2,5,25,34,67
No,7010,2085,6,3,41,35,74
No,5727,2213,3,4,43,40,68
No,6150,2163,4,2,20,40,69
No,6647,2441,3,3,33,38,88
Yes,5701,3089,3,2,10,42,81
No,5438,2258,4,2,26,46,61
Yes,5787,2459,4,2,13,48,77
No,4517,2441,3,2,36,39,58
No,5035,2284,2,3,35,55,81
No,6146,2629,3,4,31,33,78
No,7936,2159,4,4,28,34,69
No,8073,2173,4,3,34,49,76
No,4456,2141,2,3,31,37,68
Yes,4200,2625,2,1,10,39,70
No,6364,2471,4,2,35,39,91
No,5651,2353,3,4,17,35,71
No,5853,2243,3,4,27,39,99
No,5319,2329,2,2,28,39,83
No,7559,2454,5,2,24,35,81
No,5464,2381,5,3,35,37,69
No,5605,2192,4,3,38,29,74
No,8769,2287,2,2,28,45,68
Yes,5730,2480,4,3,20,47,85
No,7189,2614,4,3,15,37,67
No,4341,2457,3,3,27,36,88
Yes,5921,2483,4,3,9,35,68
Yes,4658,2100,2,3,20,45,78
No,4947,2112,5,3,38,40,68
No,5881,2393,2,4,43,37,84
No,6094,2632,4,3,42,29,75
No,6633,2470,2,2,44,43,70
No,5389,2146,3,1,38,38,55
No,5364,2347,1,4,35,34,85
No,4954,2188,1,2,40,41,87
No,7019,1943,2,2,30,39,79
No,6702,2637,4,4,21,47,57
No,7671,1845,3,4,34,40,89
No,7136,1831,2,3,32,36,86
No,4589,1841,5,2,32,38,85
No,6187,3029,3,3,33,37,87
No,6675,2321,2,2,21,38,84
No,6697,2336,2,3,31,38,69
No,5845,2624,2,3,18,40,78
No,3990,2384,2,1,41,37,67
No,7670,1945,3,4,42,37,63
Yes,3645,2375,2,2,12,41,63
No,7858,1936,4,5,21,40,87
No,9088,1961,3,3,15,42,73
No,6167,1435,1,2,37,45,73
No,5311,2520,2,3,37,44,66
No,4119,2209,5,2,26,41,79
No,6577,2846,6,2,33,34,88
No,6146,2329,2,3,29,29,67
No,6374,2482,4,3,28,35,66
No,3898,2290,5,5,35,41,78
No,5738,2800,2,2,1,37,82
No,4802,2889,5,4,30,45,71
No,2042,2732,2,2,39,41,78
No,8446,1824,3,3,24,43,94
No,5920,2288,2,4,40,38,89
Yes,5635,2462,3,3,6,41,79
No,7208,1978,3,2,21,42,67
No,9135,2613,2,4,31,35,80
No,5981,1810,3,3,7,39,61
No,7491,2224,0,4,22,45,77
No,5551,2328,4,2,41,42,85
No,4496,2592,4,3,23,37,94
No,5460,2472,1,4,27,37,73
No,6475,2810,4,2,22,45,78
No,2778,2253,2,4,26,37,61
No,5275,2494,0,3,20,36,67
No,6182,2652,2,4,28,30,70
Yes,4779,2441,4,2,10,42,97
No,4319,2169,4,3,30,42,69
No,6881,2132,3,3,7,28,51
No,3309,2088,3,3,33,28,77
No,7627,2644,3,4,22,37,67
No,5888,2568,2,2,27,41,65
No,4252,1896,3,2,24,43,74
No,5877,2409,3,4,19,36,86
No,6129,2219,4,2,31,41,75
Yes,4011,2735,2,4,13,38,74
No,5337,1806,2,2,31,46,83
No,5528,2350,4,2,35,40,83
No,6324,2571,2,4,32,42,79
No,7084,2193,4,4,26,38,82
No,5104,2167,1,2,35,42,77
Yes,1802,2188,1,3,-1,39,78
No,3247,1730,4,2,21,42,80
Yes,6451,2820,4,2,17,38,63
No,5805,2349,4,3,36,38,66
No,4147,2272,3,4,33,44,66
Yes,1587,2229,4,1,25,43,93
No,4756,2927,4,3,42,42,84
No,6178,2128,3,2,24,47,82
No,4407,1926,2,2,41,43,85
No,6197,1932,3,4,35,37,86
No,6683,2759,3,4,34,34,76
No,8713,2330,3,2,29,28,71
No,4893,2408,4,5,56,40,60
No,5855,2013,4,3,27,34,76
No,7495,2059,1,3,17,30,84
No,4872,2292,1,4,5,42,98
No,7716,2121,3,2,6,37,70
No,7023,2438,3,3,17,40,86
No,4808,2191,3,1,37,38,72
No,7704,2226,3,3,34,41,85
Yes,7283,2386,4,4,9,35,83
No,7169,2370,2,4,31,39,72
No,7063,2194,2,3,39,35,72
Yes,3874,2167,3,2,4,40,70
No,7031,2038,3,3,13,36,79
Yes,5151,2732,5,4,15,43,68
No,6421,2377,3,3,21,43,58
No,5201,2089,1,4,35,32,70
No,11002,2242,4,3,19,41,81
No,5237,2287,4,2,31,46,87
No,6951,2183,3,3,18,37,90
Yes,5633,2344,3,4,17,39,77
No,5819,2542,3,4,14,37,76
No,6288,2823,1,2,10,36,73
No,5824,2394,3,3,44,38,56
No,6824,2107,3,3,26,50,67
No,9345,1667,3,2,22,37,63
No,5445,2539,2,3,25,41,80
No,2833,2067,3,3,36,39,66
Yes,5843,2356,4,2,12,46,87
No,5150,2676,4,3,22,45,59
No,4871,2871,4,4,25,41,79
No,5110,2012,4,3,36,51,73
No,7359,2417,4,3,32,32,88
No,7384,2307,3,4,34,46,66
No,7488,2163,3,3,29,40,88
No,3342,2064,0,2,17,39,82
No,6702,2457,4,3,17,47,79
No,3946,2221,4,3,31,35,79
No,7578,2459,3,4,19,37,70
No,5166,2095,5,3,36,35,83
No,6087,2488,4,3,23,40,76
No,7312,1952,4,2,44,41,72
No,6209,2546,2,3,27,46,80
Yes,2725,2630,4,4,20,44,53
Yes,1778,2167,5,3,24,36,74
No,8784,2532,3,3,36,42,53
No,4503,1822,3,2,44,41,60
No,6219,2436,1,3,34,41,73
No,6002,2151,4,4,35,42,71
No,4711,2337,3,3,39,36,83
No,7003,2342,4,3,30,44,84
No,7361,2015,2,3,9,39,75
Yes,5052,2321,5,3,16,39,86
No,6534,2196,3,4,11,44,72
Yes,7402,2708,5,3,6,47,78
No,5486,2301,3,3,21,43,81
No,5130,2038,3,3,16,48,66
No,4327,1797,2,4,29,34,89
No,5931,2370,3,4,34,31,91
No,5886,2274,2,1,1,40,64
No,8038,2837,1,3,13,43,79
Yes,2780,2395,3,3,30,40,88
No,8215,2448,4,3,23,44,91
No,6262,1977,2,3,25,39,90
No,5659,1973,3,2,29,35,59
No,7237,3000,2,3,31,44,60
No,8262,2669,-1,2,30,38,89
Yes,8423,2369,3,5,3,45,57
No,3640,2462,4,2,14,38,51
No,7268,2686,3,3,17,34,83
No,5239,2248,4,4,26,38,69
No,6068,2382,5,4,27,35,73
No,4918,2297,3,2,34,54,68
No,5432,2022,2,3,10,42,78
No,6802,1925,2,3,42,43,83
No,6954,2433,2,3,12,46,81
No,6716,2140,3,3,19,37,79
No,8310,2292,4,4,29,43,74
No,5822,1909,2,2,40,37,76
Yes,3374,2421,2,4,12,38,92
No,4324,2356,3,2,9,44,65
No,6809,2287,3,3,45,34,95
No,6549,2048,2,3,27,45,82
No,10187,2514,3,2,31,46,79
No,6152,2425,2,3,17,37,93
No,4380,1993,2,2,18,44,70
No,6822,2050,2,2,43,39,65
No,7714,2807,4,3,44,43,82
No,8166,2407,4,3,45,36,92
No,5041,1912,3,3,27,39,64
No,5801,2174,1,4,42,44,82
No,7731,2315,4,3,29,48,76
No,1712,2027,4,3,20,33,81
No,4233,2564,3,2,26,50,66
No,4617,2189,4,3,32,44,73
No,6899,2738,3,3,31,38,81
No,6567,2092,3,3,20,40,67
Yes,4745,2788,3,3,19,39,76
Yes,3894,3034,1,3,18,40,54
No,7501,2415,2,3,35,36,67
No,5328,2474,5,3,33,41,78
No,5136,2697,1,2,31,31,90
No,5150,2255,3,3,23,44,68
No,3950,2163,1,3,33,39,54
No,5738,2600,3,3,24,46,97
No,5980,2406,3,4,33,48,78
No,5783,2023,2,2,31,40,81
No,3707,2221,2,4,34,34,66
No,3927,2445,3,2,37,36,55
No,7367,2160,4,3,11,41,58
No,5205,2980,3,4,40,35,81
No,7556,2349,2,3,35,40,78
No,6678,2158,3,3,45,32,78
No,6615,2240,2,4,44,40,79
No,6883,2013,4,4,26,43,79
No,6031,2300,3,3,15,41,72
No,7163,1700,3,3,30,44,76
No,6372,2300,2,2,33,34,67
No,5007,2606,3,4,21,51,60
No,5262,1703,4,3,27,37,94
No,6793,2131,3,4,32,43,76
No,7068,2378,4,2,39,41,72
Yes,3850,2706,4,4,20,40,68
Yes,4910,2480,4,3,25,42,91
No,5527,2442,3,2,27,44,69
No,5156,1986,3,3,34,47,83
No,6350,1798,2,3,24,39,73
No,6581,2159,4,3,16,41,87
No,5977,2015,4,2,27,38,60
No,8882,2403,4,3,34,43,74
No,3585,2328,2,3,41,40,64
No,5760,2554,3,3,29,35,84
No,4222,1952,1,4,20,42,77
No,6603,2359,1,3,22,41,71
No,6391,2691,4,2,25,36,72
No,8335,2999,3,3,42,41,77
No,6599,2600,4,1,34,37,81
Yes,2518,2377,3,3,29,44,69
No,3662,2202,3,2,22,49,71
No,7844,2995,2,3,22,39,59
No,6935,2612,3,3,27,35,88
No,6488,2702,3,1,23,24,87
No,8359,2466,3,2,20,34,71
No,7816,2705,4,3,37,37,64
No,4228,2181,2,4,25,38,75
No,6488,2131,4,3,26,56,72
No,8083,2633,4,5,33,36,77
No,7489,2428,3,4,18,47,83
No,7676,2262,2,4,24,46,59
No,6198,2937,3,3,24,30,71
No,4377,2721,4,2,29,32,81
No,7460,2136,3,4,23,33,65
No,5844,1553,4,4,28,41,57
No,4416,2349,4,3,28,33,86
No,4817,2369,4,3,34,39,77
No,6770,2242,3,4,26,45,78
No,5259,2141,3,1,34,37,78
No,8176,2462,5,5,24,42,89
No,6011,1555,1,2,15,41,74
No,6386,2372,4,4,46,45,64
No,3472,2244,3,2,17,50,78
No,6063,2113,3,2,23,46,61
No,6247,2485,1,3,15,38,82
Yes,4696,2155,4,3,14,45,62
No,7211,2119,3,3,19,36,95
No,7120,2248,1,4,35,41,83
No,7185,2367,3,3,17,34,68
No,3944,1989,4,2,30,39,67
Yes,2143,2424,5,3,8,44,66
No,6000,2176,3,2,20,42,93
No,3755,2733,5,3,46,43,79
No,4416,1484,3,2,17,39,76
No,4775,2811,3,3,35,45,64
No,5690,2343,3,4,24,38,86
No,4142,2458,3,2,18,31,80
No,4606,1626,3,3,11,35,69
No,4906,2227,4,5,18,44,72
No,6101,2669,4,2,30,47,60
Yes,3111,2258,2,3,10,40,61
No,6684,2375,6,5,27,48,65
No,4739,1934,2,3,23,41,70
No,6289,2454,3,4,30,41,79
No,5607,2776,3,3,22,42,78
No,6745,2101,4,3,20,36,72
No,4483,2333,4,3,21,33,67
No,9862,2249,4,3,37,44,65
No,10601,2062,3,3,27,37,66
No,6297,2945,1,3,20,38,87
No,7939,2211,4,2,30,45,89
No,6057,2551,5,3,34,43,70
No,5085,1853,3,3,19,45,72
No,6212,2631,4,3,28,44,71
Yes,3645,2044,3,3,12,35,70
No,5131,2486,4,4,11,37,70
No,5453,1995,3,3,20,40,89
Yes,6299,2451,2,3,8,42,85
No,5774,2056,4,4,18,45,74
No,6397,2683,2,3,38,48,80
No,4250,2246,4,3,22,46,74
No,8563,2254,3,3,25,47,64
No,7638,2486,3,2,22,35,68
No,7639,2811,3,2,44,29,67
No,7759,2050,3,1,31,39,78
No,5599,2032,3,3,31,38,73
No,5650,2519,4,4,14,37,73
No,6706,2396,2,3,35,41,64
No,5048,2113,3,2,16,40,86
No,6994,2302,4,4,42,39,64
No,3295,1708,5,3,45,37,78
Yes,5229,2698,3,3,23,35,86
No,5960,2037,5,3,30,38,66
No,6323,2809,2,3,35,37,73
No,4828,2567,3,3,25,36,82
No,5085,2296,4,3,35,43,78
No,5775,2167,3,2,38,37,59
No,8464,2431,3,2,18,43,55
No,6520,1660,2,3,14,41,71
No,5565,2403,3,3,26,40,71
No,6298,2353,4,3,37,44,82
No,6461,2287,4,3,15,42,63
No,6328,2142,4,3,36,36,71
No,5077,3476,3,4,35,41,63
Yes,3489,2584,3,4,20,52,83
No,7677,1955,4,3,28,38,69
No,6623,2488,4,3,23,42,79
No,3021,2321,3,3,26,34,89
No,6323,2254,2,3,44,42,72
No,7643,2087,2,3,29,38,60
No,6075,2450,2,3,21,42,90
No,4938,2254,2,3,24,34,85
No,6603,1700,4,3,17,48,73
No,8914,2234,2,4,20,31,74
No,7325,2184,2,3,30,41,59
No,6408,2415,3,3,15,40,73
No,5291,2492,1,2,28,39,78
No,7252,2203,4,3,35,42,72
No,5726,2163,4,3,26,44,73
No,5283,2413,4,3,0,42,64
No,6764,2313,2,3,12,40,59
No,9459,1814,3,4,25,34,86
No,9151,1983,1,2,25,47,64
No,6199,1941,3,3,11,35,75
No,6242,1954,4,4,23,39,77
No,7418,2506,3,3,45,41,67
No,4583,1844,5,3,32,55,71
No,7283,3022,2,2,19,44,86
No,6115,2535,3,4,48,30,91
No,4659,2027,3,3,44,46,98
No,7340,2731,4,3,17,36,64
No,6918,1997,4,3,25,36,58
Yes,3936,3131,4,3,18,37,63
No,6162,2785,4,3,24,39,72
No,5815,2118,4,4,36,47,86
No,5948,2211,2,3,20,46,63
No,8298,2606,2,3,34,36,81
No,5131,2587,5,4,39,39,63
No,6990,2421,3,1,32,39,77
No,3736,2250,1,3,26,39,71
No,4122,2297,4,3,25,47,65
No,6113,1897,2,4,41,40,81
No,6954,2280,3,4,13,42,67
No,6449,2036,3,2,29,44,67
Yes,6062,2785,2,4,11,42,76
No,7568,1921,4,3,13,40,60
No,5707,2582,2,2,41,42,81
No,6184,2361,4,3,17,37,71
No,6624,2311,3,2,20,37,69
No,6145,1828,5,2,18,44,78
No,5453,2339,4,4,22,39,87
No,6875,2216,4,3,20,41,83
No,8640,2068,3,3,33,35,77
No,6798,2483,0,4,36,42,60
No,5067,2285,3,3,23,38,82
No,6835,1990,3,4,14,43,58
No,5526,2612,5,4,25,38,65
No,8548,2295,4,3,32,34,64
No,4994,1911,5,4,27,42,55
No,6162,2088,4,3,20,33,64
Yes,3784,2107,2,3,8,45,87
No,7240,2676,5,2,36,43,59
Yes,5383,2241,4,3,4,42,59
Yes,5007,1883,4,3,17,40,91
No,7524,2331,4,3,28,31,76
Yes,1837,2266,4,3,28,45,89
No,5523,2728,0,3,42,45,72
No,5659,1907,4,3,41,34,75
No,6166,1883,4,3,37,46,62
No,5939,2502,4,4,15,38,53
No,6664,2396,4,4,33,40,77
No,7374,2356,4,3,21,37,71
Yes,4765,2737,3,1,-1,43,91
No,6117,2502,4,3,30,41,67
No,3020,1682,4,4,26,39,83
No,6408,2393,3,4,24,31,78
Yes,3109,2835,2,3,25,39,69
No,7832,1983,4,3,21,33,68
No,6036,2551,3,3,30,43,74
No,2318,2220,2,3,37,42,54
No,2670,2389,3,3,51,41,66
No,6717,2266,2,3,27,40,76
No,2837,2775,5,4,34,29,68
No,8000,2356,1,3,35,36,67
No,4956,2556,3,2,38,41,70
No,3573,2234,3,2,22,39,82
No,7193,2849,4,4,13,41,76
No,8492,2570,3,3,45,35,82
No,4526,2577,2,4,20,42,78
No,4437,2396,3,2,30,40,70
No,5366,2444,3,3,25,48,73
No,7885,2091,3,4,21,42,81
No,7826,2304,3,3,30,35,67
No,7048,1837,3,2,34,28,88
No,7645,1989,3,2,16,39,68
No,5671,2319,3,4,22,45,74
No,5301,2284,3,4,11,38,74
No,4265,2710,3,3,45,43,64
No,6196,2293,3,4,19,36,65
No,8619,2149,3,2,42,42,77
No,6154,2518,3,3,34,31,75
No,6037,2347,5,3,32,30,83
No,8926,1846,2,3,40,36,70
No,6204,2077,3,3,31,36,71
No,6146,2187,2,3,37,45,78
No,4694,2378,4,2,25,42,70
No,6001,2102,4,4,38,41,68
No,6270,2474,3,3,20,33,59
No,7140,2311,4,3,27,39,74
No,4527,2002,3,3,51,33,70
No,7575,2018,3,2,39,43,79
No,6204,2241,2,3,24,42,79
No,7508,1778,4,2,38,33,80
No,6702,2400,3,3,10,33,65
No,5225,2319,3,3,29,42,90
No,6901,2512,3,3,22,46,70
No,7738,1818,5,2,30,41,63
No,6236,2134,1,3,21,45,77
No,6288,2554,5,2,26,35,68
Yes,6223,2419,3,3,11,43,73
No,6179,2078,3,3,43,46,69
No,6227,2213,3,3,39,47,74
No,6236,2209,4,3,30,45,68
No,5908,2241,3,4,11,43,71
No,5994,2644,3,3,17,39,90
No,4158,1711,3,2,12,50,97
No,7373,2923,3,5,35,40,77
No,6314,2497,4,3,50,30,74
No,7889,2302,2,3,28,32,75
No,4107,2167,3,3,29,42,94
Yes,2819,2081,5,3,33,48,76
No,5139,2287,2,3,31,42,82
No,5079,2086,2,3,36,32,84
No,7833,1692,4,3,26,43,68
No,8009,2549,4,3,16,40,77
No,5970,2620,4,3,38,45,79
No,5865,2142,3,4,27,41,72
No,7464,2345,1,4,28,42,68
No,4412,2204,3,4,29,46,73
No,6280,2602,1,3,8,37,70
No,5323,2141,4,3,26,38,72
No,7400,2064,2,4,35,35,81
Yes,2960,2364,5,3,23,49,71
Yes,5505,2404,5,3,10,35,79
No,2922,2484,3,2,21,43,60
No,5968,1632,3,3,13,34,71
No,4977,2689,2,2,35,37,77
No,7306,2350,3,3,16,45,69
No,5949,2548,4,3,44,47,72
No,5951,2180,3,3,40,45,90
Yes,5806,2423,5,3,18,38,77
No,4483,2629,2,2,25,33,78
No,6571,1945,1,3,16,41,66
No,5696,1966,3,4,22,34,61
No,5051,1664,4,2,25,41,84
No,5506,1829,3,2,14,29,92
No,5980,1731,3,3,19,45,82
No,7001,2351,3,2,13,41,74
No,5383,2498,3,2,9,42,73
No,6709,2818,3,3,35,36,76
No,6757,2552,4,3,32,36,87
No,5664,2200,2,4,28,39,79
No,5218,2041,4,3,21,42,76
No,6234,2291,3,3,22,42,83
No,5818,2020,2,2,23,41,72
No,9180,2187,3,2,24,46,79
No,6848,2158,2,2,36,47,89
No,7217,2648,2,4,29,45,76
No,5632,1462,3,3,27,49,73
No,6014,2006,2,3,32,42,93
No,4321,2358,5,3,18,36,71
Yes,4677,3112,3,2,27,40,79
No,7207,2562,2,4,26,41,77
No,5695,2247,1,3,25,36,70
Yes,5052,2981,2,3,8,37,95
No,7382,2296,3,4,16,45,69
No,6074,2009,2,2,32,46,78
No,6513,2725,2,3,39,38,71
No,6518,2399,3,3,19,46,61
No,4288,2294,4,3,13,39,69
No,4630,1888,5,2,36,45,88
No,10251,1791,3,3,38,42,76
No,5921,1822,3,4,22,37,78
No,4697,2795,2,5,27,42,82
No,8064,2497,5,4,20,45,78
No,4428,2208,3,4,24,41,47
No,6176,2199,3,3,22,32,80
No,7448,1798,2,5,21,36,73
No,5985,2067,2,3,18,35,66
No,6796,2197,3,3,21,47,64
Yes,5207,2434,3,3,19,46,80
No,5108,1575,4,4,32,46,85
No,3784,2192,3,3,22,31,71
No,6211,2926,3,3,46,55,84
No,7278,2036,3,3,33,33,71
No,5783,2275,3,2,13,37,67
No,6510,2620,3,4,22,39,83
No,6254,2055,4,3,31,41,84
No,6052,2800,3,4,38,30,73
No,6735,2928,4,4,26,36,86
No,5980,2084,3,5,18,38,76
No,5558,1918,2,2,32,39,80
No,5098,2260,1,4,33,37,80
No,7166,1959,3,3,18,37,78
No,5379,2222,3,3,9,42,88
No,5183,1618,3,4,19,48,79
No,5160,2390,3,4,25,49,76
No,6032,2273,2,3,32,47,72
No,5634,2213,2,2,22,40,90
No,6723,2517,3,4,20,46,69
No,4617,1825,4,3,39,34,78
No,6833,2184,3,3,18,42,85
No,5206,2814,4,4,41,42,81
No,9009,2454,3,3,39,47,81
No,4830,2035,3,3,24,41,92
No,7179,2272,4,3,27,39,81
No,8591,2205,2,3,33,43,80
Yes,3433,2119,4,3,10,42,68
Yes,4976,2294,2,3,12,39,75
No,3886,2327,3,3,39,38,75
No,9838,2456,2,4,30,36,69
Yes,4716,2540,5,3,10,35,76
No,8911,2341,3,3,17,34,88
No,5964,2320,3,3,32,47,53
No,4977,2432,1,2,34,41,91
No,5841,2410,3,2,26,35,65
No,6713,2345,3,3,44,46,73
No,5766,2613,3,2,33,40,74
No,5773,2300,2,4,31,37,76
No,2280,2240,3,3,39,41,82
No,4519,2367,3,3,34,43,80
No,7022,2778,3,3,17,40,52
No,6806,1903,5,3,11,36,71
No,7814,1808,3,3,41,37,79
No,6956,2631,3,3,39,43,48
No,4816,2489,4,3,20,44,91
No,4891,2340,3,3,41,47,82
No,5538,2224,1,2,18,40,71
No,3194,2404,4,2,40,50,84
No,6203,1905,0,4,12,41,84
No,7284,1784,2,3,28,45,67
Yes,4061,2136,3,3,-1,38,73
No,7788,2522,3,3,28,32,69
No,6660,2432,2,3,17,47,71
Yes,7211,2412,4,3,2,45,76
No,3570,1837,3,3,29,43,88
No,6867,2350,4,3,24,41,61
No,5389,2608,4,3,20,34,77
No,5138,2410,3,3,30,28,66
No,6783,1929,3,3,24,41,77
No,7393,1996,1,3,42,42,81
No,6519,2360,3,2,32,43,81
No,5642,2534,3,2,20,42,69
No,4433,2371,2,3,24,47,74
No,4679,2623,4,3,48,34,74
No,4290,2398,4,4,19,35,51
No,7809,2074,2,4,19,44,78
No,5762,2095,4,4,17,38,66
No,7032,2096,3,3,15,35,82
No,5295,2149,3,1,40,35,72
No,5084,2732,1,3,35,45,65
No,3522,2284,4,2,37,38,89
No,6101,2314,3,4,30,43,82
No,6917,2609,5,3,22,36,84
No,7564,2177,2,2,26,38,63
No,5381,1881,4,3,18,51,78
No,5288,2193,5,4,31,47,71
No,5917,2181,5,3,25,44,77
No,4111,1853,3,4,12,36,63
No,6898,2348,3,3,14,50,73
No,6823,2158,4,3,27,46,90
No,3702,2178,3,3,37,44,84
No,4645,2316,3,3,22,45,91
No,6967,2595,2,3,35,37,82
No,3721,2458,2,3,37,36,85
Yes,5242,2471,2,4,12,41,88
No,6071,2238,4,3,46,44,66
No,6126,2922,2,3,32,40,59
No,6938,2065,2,3,36,33,83
No,7935,2227,3,3,31,44,99
No,4271,2334,3,2,26,39,82
No,5082,2327,2,3,22,36,73
No,7254,2229,2,2,23,39,74
No,3992,2674,4,3,26,46,72
No,6863,2502,3,3,24,35,73
No,4883,1801,3,3,17,35,84
No,7917,2484,5,3,22,39,90
No,5388,2315,2,2,33,41,89
Yes,4681,1827,4,4,16,37,82
No,2855,2891,3,3,33,34,78
Yes,5616,1949,5,4,18,48,68
No,6295,2541,3,4,30,37,69
No,6775,2278,2,2,22,38,83
No,6267,2267,2,2,34,44,68
No,3025,2042,3,4,46,32,69
No,3193,1931,4,2,35,42,73
No,6301,1629,1,3,36,40,48
No,5070,2704,4,3,38,27,83
No,7663,1873,4,3,7,37,72
No,4463,2528,4,3,28,35,66
No,7601,1899,2,3,26,35,90
No,8257,1770,1,3,19,39,66
No,4151,2454,1,4,40,33,69
No,7231,2393,2,3,36,37,97
No,5227,2553,2,4,22,31,70
No,4174,2364,3,3,33,39,69
Yes,5062,2076,3,3,-5,52,67
No,6077,2539,6,3,30,37,80
No,7259,1710,3,3,39,38,91
No,6937,2468,3,2,32,51,82
No,7726,1810,3,4,20,47,72
No,3937,2545,3,3,32,33,64
No,5382,2228,4,4,34,42,83
No,8043,3146,2,3,45,41,71
No,6798,2298,3,3,25,49,67
No,5473,1921,4,3,20,38,55
No,5916,2466,3,1,24,43,64
No,6811,2376,2,2,20,51,79
No,6972,2437,4,4,8,45,67
No,6519,2301,3,3,16,47,78
No,7348,1351,3,5,37,40,76
No,6716,2713,3,3,35,44,73
No,4958,2452,4,2,18,39,86
No,6022,2277,3,4,40,48,111
No,4563,2971,1,3,24,40,71
No,5828,2127,3,2,22,39,82
No,6006,1392,3,3,23,46,87
No,6917,2667,4,2,15,32,74
Yes,4303,2010,6,3,25,41,78
No,5476,1725,4,3,34,45,85
No,10567,2756,4,3,31,41,88
No,6654,2501,2,3,35,42,77
No,3620,2436,2,3,38,41,66
No,5796,2080,4,2,16,42,77
No,6640,2688,3,4,32,41,70
No,7195,1746,4,4,22,34,72
No,5354,1905,4,3,20,40,87
No,4948,2358,5,3,36,37,105
Yes,1071,2281,3,4,24,39,68
No,2725,2074,5,3,20,35,84
No,7157,2186,5,4,32,46,75
No,7034,1974,2,2,56,37,61
No,5122,2379,3,5,29,40,78
No,5174,2121,5,3,29,42,80
Yes,3382,2319,4,4,17,40,65
No,4673,2595,2,4,27,44,78
No,6742,2272,3,2,31,39,76
No,5434,1897,4,3,29,49,59
No,6429,1954,3,2,20,32,79
No,7249,2435,3,3,30,44,72
No,6292,2098,3,2,22,42,74
No,4688,2066,3,2,11,44,87
No,6046,2084,3,3,32,50,66
No,4570,1881,3,4,18,46,86
No,6299,2322,4,3,38,42,64
No,4821,2583,3,3,23,41,91
No,5984,2489,2,3,27,36,66
No,5780,2354,5,3,40,46,62
No,7944,1862,2,4,28,42,50
No,5824,2438,2,3,22,39,89
No,5647,2363,3,3,43,31,89
No,6878,2519,2,3,45,45,75
No,3831,1826,3,5,22,37,55
No,7643,1693,2,3,14,31,86
No,5690,2541,3,4,27,41,69
No,5206,2281,1,3,27,43,75
No,7542,2271,4,2,28,44,82
No,5969,2307,2,3,26,35,87
No,5901,1840,3,3,26,39,69
No,5930,2186,4,4,16,39,70
No,6314,2376,2,3,29,39,74
No,5247,2336,3,2,31,40,67
No,6501,1599,3,4,26,29,65
No,5204,2516,3,1,20,39,84
No,5393,2287,2,3,29,42,84
Yes,4839,2622,3,2,13,40,79
No,5598,2808,5,3,19,40,66
No,6538,1986,3,2,15,48,74
No,7314,1829,3,3,27,43,69
No,5463,2409,3,2,35,30,80
No,5914,2467,3,3,22,40,92
No,7649,2533,2,2,40,35,49
No,4941,2386,1,3,20,47,72
No,8500,2763,2,3,41,38,71
No,8609,3047,3,2,7,32,74
No,7590,2431,4,3,23,35,80
No,6101,1927,2,4,54,35,71
No,6642,1826,2,3,28,48,74
No,2391,1895,2,2,21,38,92
No,5416,2158,2,4,19,41,77
Yes,2042,2349,4,2,28,35,78
No,6193,2437,3,2,16,41,55
No,8705,2479,4,4,17,39,65
No,8672,2787,2,2,15,39,81
No,5522,1952,3,3,29,40,89
No,5865,2561,2,2,27,39,83
No,4678,2552,3,4,32,40,79
No,7522,2299,4,3,19,47,62
Yes,4698,2038,4,4,5,41,71
No,4157,2139,3,3,21,39,73
No,7563,2305,2,1,24,43,78
No,5978,2094,4,2,29,47,78
No,5526,2999,3,4,38,41,80
