"Output","minRadius","maxRadius"
"No",0.939,0.98
"Yes",0.963,0.959
"No",0.932,0.98
"Yes",0.972,0.979
"No",0.948,0.992
"No",0.932,0.937
"Yes",0.986,0.976
"No",0.957,0.968
"Yes",0.98,0.941
"No",0.939,0.969
"No",0.952,0.972
"Yes",0.977,0.976
"No",0.929,0.916
"No",0.951,0.933
"Yes",0.995,0.906
"Yes",0.986,0.971
"Yes",1.001,0.936
"No",0.926,0.991
"No",0.922,0.949
"No",0.956,0.961
"Yes",0.981,0.967
"Yes",0.979,0.924
"No",0.923,0.948
"No",0.941,0.953
"No",0.909,0.925
"No",0.904,0.969
"No",0.941,0.938
"No",0.934,0.924
"No",0.904,0.959
"No",0.943,0.929
"No",0.955,0.957
"No",0.94,0.973
"No",0.951,0.952
"No",0.959,0.927
"No",0.923,0.92
"No",0.958,0.98
"No",0.927,0.917
"Yes",0.983,0.932
"No",0.905,0.958
"Yes",0.995,0.943
"Yes",0.976,0.906
"No",0.933,0.922
"Yes",0.976,0.985
"Yes",0.984,0.929
"Yes",1.001,0.966
"No",0.923,0.929
"Yes",0.998,0.975
"No",0.914,0.998
"Yes",0.997,0.969
"No",0.956,0.976
"Yes",0.984,0.939
"No",0.928,0.905
"Yes",0.971,0.993
"No",0.928,0.918
"Yes",0.986,0.921
"Yes",0.987,0.975
"No",0.931,0.915
"No",0.927,0.948
"No",0.909,0.948
"Yes",0.998,0.918
"No",0.948,0.958
"Yes",0.961,0.92
"Yes",0.967,0.998
"Yes",0.964,0.991
"Yes",0.996,0.929
"No",0.903,0.998
"No",0.908,0.993
"Yes",0.989,0.932
"Yes",0.979,0.996
"No",0.912,0.963
"No",0.937,0.995
"Yes",0.978,0.97
"No",0.911,0.969
"Yes",0.966,0.922
"Yes",0.972,0.923
"Yes",0.995,0.948
"No",0.912,0.941
"No",0.9,0.987
"Yes",0.971,0.992
"No",0.945,0.968
"No",0.937,0.965
"Yes",0.979,0.979
"Yes",0.978,0.931
"No",0.936,0.955
"No",0.922,0.972
"No",0.938,0.959
"Yes",0.961,0.979
"No",0.916,0.982
"No",0.959,0.955
"No",0.911,0.924
"No",0.957,0.928
"No",0.901,0.99
"No",0.946,0.974
"No",0.909,0.939
"No",0.939,0.974
"Yes",1.001,0.926
"No",0.909,0.924
"No",0.914,0.947
"No",0.955,0.95
"No",0.958,0.922
"Yes",0.971,0.948
"No",0.959,1
"No",0.934,0.915
"Yes",0.977,0.953
"Yes",0.969,0.924
"No",0.91,0.938
"Yes",0.961,0.977
"Yes",0.963,0.935
"No",0.958,0.976
"Yes",0.992,0.964
"No",0.908,0.967
"No",0.92,0.918
"No",0.957,0.964
"No",0.909,0.932
"Yes",0.961,0.942
"Yes",0.988,0.986
"No",0.942,0.904
"No",0.92,0.973
"No",0.947,1
"Yes",0.962,0.989
"No",0.927,0.949
"No",0.913,0.925
"No",0.948,0.975
"No",0.928,0.907
"No",0.92,0.929
"Yes",0.97,0.928
"No",0.935,0.959
"No",0.956,0.995
"Yes",0.964,0.942
"Yes",0.979,0.95
"Yes",0.985,0.983
"No",0.902,0.948
"No",0.937,0.922
"Yes",0.999,0.931
"Yes",0.968,0.974
"No",0.92,0.943
"No",0.937,0.97
"No",0.901,0.959
"Yes",0.966,0.904
"No",0.939,0.951
"Yes",0.998,0.904
"No",0.937,0.964
"No",0.935,0.977
"Yes",0.972,0.9
"Yes",0.996,0.952
"Yes",0.969,0.915
"Yes",0.975,0.981
"Yes",0.966,0.974
"Yes",0.985,0.975
"No",0.92,0.94
"Yes",0.995,0.932
"No",0.951,0.906
"No",0.913,0.994
"No",0.944,0.911
"Yes",0.964,0.994
"No",0.911,0.908
"No",0.906,0.906
"No",0.958,0.941
"No",0.946,0.984
"Yes",0.968,1
"No",0.943,0.932
"Yes",0.971,0.973
"No",0.91,0.981
"No",0.91,0.922
"No",0.901,0.924
"Yes",0.965,0.9
"No",0.947,0.965
"Yes",0.983,0.999
"No",0.944,0.927
"No",0.944,0.93
"No",0.901,0.951
"No",0.946,0.937
"No",0.907,0.918
"No",0.928,0.998
"Yes",1,0.917
"Yes",0.99,0.928
"Yes",0.986,0.956
"Yes",0.964,0.949
"No",0.917,0.937
"Yes",0.998,0.985
"Yes",0.993,0.976
"No",0.957,0.993
"Yes",0.968,0.95
"No",0.921,0.987
"No",0.914,0.957
"No",0.947,0.959
"No",0.901,0.92
"Yes",0.963,0.991
"No",0.922,0.959
"No",0.914,0.902
"No",0.934,0.973
"Yes",0.996,0.905
"Yes",0.967,0.943
"Yes",0.969,0.97
"No",0.925,0.902
"No",0.934,0.907
"Yes",0.994,0.91
"Yes",0.971,0.926
"No",0.946,0.914
"No",0.909,0.9
"Yes",0.99,0.933
"No",0.954,0.913
"No",0.938,0.949
"No",0.929,0.962
"Yes",0.973,0.965
"No",0.945,0.967
"Yes",0.998,0.997
"No",0.96,0.929
"Yes",0.998,0.973
"No",0.928,0.963
"No",0.926,0.955
"Yes",0.993,0.948
"Yes",0.977,0.913
"Yes",0.993,0.954
"No",0.935,0.976
"No",0.915,0.919
"No",0.956,0.931
"Yes",0.978,0.916
"No",0.947,0.984
"Yes",0.995,0.947
"No",0.937,0.913
"Yes",0.987,0.943
"No",0.959,0.988
"Yes",0.967,0.964
"No",0.95,0.957
"No",0.952,0.998
"No",0.92,0.951
"Yes",0.967,0.967
"No",0.936,0.954
"No",0.935,0.913
"No",0.903,0.944
"No",0.944,0.965
"No",0.956,0.95
"No",0.959,0.927
"Yes",1.001,0.991
"No",0.929,0.954
"No",0.917,0.995
"No",0.959,0.981
"No",0.901,0.93
"Yes",0.964,0.938
"Yes",0.967,0.958
"No",0.906,0.936
"No",0.935,0.948
"Yes",0.984,0.965
"No",0.959,0.974
"Yes",0.988,1
"No",0.922,0.946
"No",0.935,0.996
"No",0.919,0.979
"Yes",0.982,0.978
"Yes",0.993,0.967
"No",0.909,0.931
"No",0.952,0.998
"No",0.906,0.954
"No",0.902,0.98
"No",0.933,0.986
"No",0.931,0.905
"Yes",0.989,0.964
"No",0.91,0.966
"Yes",0.988,0.941
"No",0.941,0.959
"Yes",0.99,0.94
"No",0.907,0.902
"No",0.903,0.97
"No",0.958,0.966
"No",0.948,0.972
"Yes",0.978,0.931
"Yes",0.994,0.935
"No",0.903,0.977
"No",0.933,0.936
"No",0.949,0.993
"No",0.93,0.916
"No",0.956,0.982
"No",0.946,0.939
"Yes",0.997,0.962
"Yes",0.964,0.919
"No",0.935,0.943
"Yes",0.996,0.982
"No",0.952,0.944
"Yes",0.989,0.929
"No",0.924,0.975
"No",0.95,0.913
"Yes",0.987,0.901
"No",0.935,0.946
"Yes",0.985,0.953
"Yes",0.992,0.992
"No",0.901,0.925
"No",0.903,0.994
"No",0.906,0.968
"No",0.908,0.921
"No",0.904,0.924
"No",0.96,0.924
"Yes",0.98,0.989
"Yes",0.992,0.964
"Yes",0.97,0.977
"No",0.933,0.953
"No",0.921,0.908
"No",0.947,0.941
"No",0.935,0.903
"Yes",0.982,0.995
"No",0.915,0.981
"No",0.911,0.927
"No",0.948,0.963
"No",0.907,0.942
"No",0.91,0.968
"No",0.925,0.977
"Yes",0.964,0.941
"Yes",0.991,0.913
"No",0.919,0.994
"Yes",0.986,0.961
"No",0.939,0.993
"No",0.901,0.947
"No",0.944,0.975
"No",0.958,0.952
"No",0.924,0.909
"No",0.924,0.955
"Yes",0.963,0.939
"No",0.914,0.973
"No",0.952,0.952
"Yes",0.965,0.905
"Yes",0.994,0.971
"No",0.949,0.953
"No",0.948,0.959
"No",0.943,0.96
"No",0.926,0.97
"No",0.95,0.952
"No",0.945,0.958
"No",0.951,0.947
"Yes",0.962,0.948
"Yes",0.987,0.982
"Yes",0.982,0.997
"No",0.904,0.92
"No",0.901,0.983
"Yes",0.979,0.942
"No",0.916,0.997
"No",0.91,0.947
"Yes",0.967,0.906
"Yes",0.993,0.927
"No",0.901,0.914
"No",0.9,0.903
"Yes",0.986,0.923
"Yes",0.969,0.93
"No",0.904,0.924
"No",0.936,0.993
"Yes",0.978,0.998
"No",0.917,0.919
"No",0.918,0.965
"Yes",1,0.999
"No",0.901,0.967
"No",0.907,0.997
"No",0.924,0.991
"No",0.924,0.963
"No",0.946,0.953
"Yes",0.979,0.98
"Yes",0.966,0.979
"Yes",0.981,0.92
"No",0.909,0.962
"No",0.907,0.953
"No",0.921,0.943
"Yes",0.979,0.949
"No",0.923,0.987
"No",0.941,0.915
"No",0.955,0.914
"Yes",0.986,0.942
"Yes",0.977,0.933
"Yes",0.97,1.001
"No",0.921,0.997
"No",0.925,0.945
"No",0.956,0.979
"No",0.959,0.958
"Yes",1,0.912
"Yes",0.983,0.937
"Yes",0.971,0.95
"Yes",0.978,0.909
"No",0.9,0.988
"No",0.913,0.974
"No",0.947,0.944
"No",0.96,0.95
"No",0.935,0.969
"Yes",0.997,0.963
"No",0.922,0.953
"No",0.922,0.914
"Yes",0.994,0.998
"No",0.928,0.909
"No",0.943,0.988
"No",0.929,0.937
"No",0.93,0.906
"No",0.919,0.979
"Yes",0.963,0.971
"Yes",0.983,0.937
"No",0.957,0.989
"No",0.934,0.968
"Yes",0.964,0.976
"No",0.953,0.953
"No",0.916,0.956
"No",0.938,0.979
"Yes",0.994,0.923
"No",0.952,0.957
"Yes",0.991,0.924
"No",0.94,0.984
"Yes",1,0.959
"Yes",1,0.969
"No",0.934,0.984
"No",0.943,0.913
"No",0.939,0.961
"Yes",0.998,0.972
"No",0.933,0.91
"No",0.943,0.926
"Yes",0.988,0.933
"Yes",0.967,0.922
"Yes",0.993,0.907
"Yes",0.965,0.955
"No",0.939,0.923
"No",0.929,0.955
"Yes",0.968,0.967
"Yes",0.972,0.945
"No",0.948,0.94
"No",0.935,0.977
"Yes",0.997,0.988
"No",0.932,0.993
"No",0.929,0.9
"No",0.931,0.908
"No",0.925,0.903
"Yes",0.979,0.916
"Yes",0.987,0.976
"No",0.934,0.946
"Yes",0.976,0.961
"No",0.919,0.907
"No",0.911,0.984
"No",0.939,0.907
"Yes",0.964,0.933
"Yes",0.964,0.947
"Yes",0.968,0.908
"No",0.939,0.905
"Yes",0.969,0.977
"No",0.914,0.991
"Yes",0.976,0.941
"Yes",0.992,0.9
"No",0.918,0.901
"No",0.958,0.92
"No",0.917,0.93
"No",0.956,0.983
"No",0.952,0.902
"Yes",0.974,0.983
"Yes",0.983,0.929
"No",0.932,0.92
"Yes",0.964,0.929
"Yes",0.994,0.984
"No",0.946,0.986
"Yes",0.976,0.972
"No",0.908,0.924
"No",0.95,0.912
"Yes",0.993,0.995
"No",0.944,0.948
"No",0.912,0.946
"No",0.934,1.001
"Yes",0.989,0.938
"No",0.925,0.938
"No",0.914,0.998
"No",0.921,0.968
"Yes",0.977,0.909
"No",0.945,0.967
"Yes",0.997,0.995
"No",0.905,0.957
"Yes",0.996,0.933
"Yes",0.988,0.917
"Yes",0.965,0.985
"No",0.942,0.963
"No",0.931,0.915
"Yes",0.997,0.975
"Yes",0.971,0.938
"Yes",0.967,0.941
"No",0.935,0.998
"No",0.914,0.972
"Yes",0.987,0.991
"No",0.96,0.938
"Yes",0.964,0.971
"No",0.913,0.929
"Yes",0.979,0.993
"Yes",0.971,0.936
"No",0.953,0.939
"Yes",0.966,0.99
"No",0.926,0.965
"No",0.949,0.978
"Yes",0.975,0.924
"Yes",0.964,0.925
"No",0.91,0.979
"Yes",0.992,0.999
"Yes",0.995,0.984
"Yes",0.966,0.97
"Yes",0.962,0.97
"No",0.943,0.912
"Yes",0.973,0.915
"No",0.95,0.991
"Yes",0.97,0.999
"Yes",0.97,0.921
"Yes",0.977,0.901
"No",0.944,0.98
"Yes",0.981,0.95
"No",0.953,0.93
"Yes",0.99,0.973
"No",0.904,0.955
"Yes",0.979,0.982
"No",0.933,0.995
"Yes",0.978,0.925
"Yes",0.984,0.908
"Yes",0.987,0.922
"Yes",0.963,0.917
"Yes",0.961,0.92
"Yes",0.987,0.951
"No",0.946,0.924
"Yes",0.994,0.978
"Yes",0.983,0.965
"Yes",0.985,0.909
"No",0.903,0.995
"No",0.945,0.917
"No",0.911,1
"Yes",0.973,0.935
"Yes",1,0.907
"Yes",0.995,0.958
"Yes",0.969,0.953
"Yes",0.968,0.913
"Yes",0.999,0.969
"Yes",0.994,0.966
"Yes",0.988,0.925
"Yes",0.966,0.979
"No",0.936,0.98
"Yes",0.996,0.956
"No",0.927,0.997
"No",0.935,0.995
"Yes",0.986,0.973
"Yes",0.962,0.913
"No",0.922,0.998
"Yes",0.973,0.941
"Yes",0.98,0.927
"No",0.92,0.981
"No",0.926,0.957
"No",0.941,0.92
"Yes",0.964,0.906
"Yes",0.963,0.976
"Yes",0.977,0.995
"No",0.907,0.928
"Yes",0.984,0.9
"No",0.907,0.976
"Yes",0.984,0.978
"No",0.903,0.956
"Yes",0.984,0.937
"No",0.943,0.966
"No",0.934,0.997
"No",0.932,0.901
"No",0.96,0.941
"No",0.905,0.965
"No",0.909,0.925
"Yes",0.982,0.977
"Yes",0.961,0.935
"Yes",0.974,0.986
"No",0.917,0.948
"No",0.95,0.923
"No",0.907,0.909
"Yes",0.982,0.97
"No",0.909,0.986
"Yes",0.997,0.901
"Yes",0.966,0.951
"No",0.958,0.968
"Yes",0.989,0.902
"No",0.915,0.95
"No",0.949,0.937
"Yes",0.987,0.946
"No",0.955,0.915
"No",0.953,0.969
"No",0.909,0.924
"Yes",0.981,0.947
"Yes",0.993,0.936
"No",0.914,0.941
"No",0.924,0.973
"No",0.926,0.954
"No",0.946,0.963
"Yes",0.99,0.94
"No",0.92,0.958
"Yes",0.999,0.94
"No",0.921,0.975
"No",0.95,0.912
"Yes",0.994,0.952
"Yes",0.99,0.934
"No",0.913,0.939
"Yes",0.979,0.978
"No",0.915,0.949
"No",0.933,0.932
"No",0.953,0.979
"No",0.915,0.99
"No",0.912,0.968
"No",0.959,0.975
"Yes",0.962,0.985
"No",0.946,0.972
"No",0.937,0.937
"No",0.916,0.907
"No",0.957,0.907
"No",0.933,0.912
"Yes",0.969,1
"Yes",0.998,0.965
"Yes",0.993,0.972
"No",0.944,0.993
"No",0.904,0.939
"Yes",0.989,0.944
"No",0.947,0.913
"No",0.943,0.988
"Yes",0.97,0.916
"No",0.941,0.946
"No",0.937,0.917
"Yes",0.979,0.934
"No",0.929,0.979
"Yes",0.983,0.974
"No",0.956,0.937
"Yes",0.991,0.903
"No",0.901,0.984
"No",0.953,0.983
"Yes",0.975,0.903
"Yes",0.966,0.986
"No",0.911,0.92
"No",0.957,0.978
"No",0.936,0.994
"No",0.938,0.953
"Yes",0.983,0.963
"No",0.925,0.911
"No",0.934,0.949
"Yes",0.967,0.939
"Yes",0.978,0.974
"No",0.952,0.978
"No",0.947,0.939
"No",0.954,0.968
"No",0.957,0.92
"No",0.916,1
"Yes",0.976,0.943
"No",0.934,0.922
"No",0.937,0.902
"No",0.908,0.953
"Yes",1.001,0.949
"Yes",0.964,0.948
"No",0.94,0.98
"Yes",0.992,0.954
"Yes",0.996,0.936
"No",0.909,0.967
"Yes",1,0.98
"No",0.95,0.922
"Yes",0.969,0.997
"No",0.904,0.909
"Yes",0.997,1
"Yes",0.961,0.91
"Yes",0.966,0.926
"Yes",0.967,1
"Yes",0.969,0.94
"Yes",0.968,0.995
"No",0.959,0.902
"Yes",0.995,0.928
"No",0.92,0.93
"Yes",0.977,0.955
"No",0.911,0.986
"No",0.936,0.983
"Yes",0.973,0.976
"Yes",0.987,0.953
"No",0.918,0.941
"Yes",0.985,0.92
"No",0.935,0.967
"Yes",0.988,0.909
"Yes",0.964,0.989
"No",0.958,0.905
"Yes",0.969,0.944
"No",0.946,0.979
"Yes",0.985,0.946
"No",0.933,0.982
"Yes",0.979,0.9
"No",0.915,0.96
"No",0.952,0.934
"No",0.924,0.996
"Yes",0.99,0.932
"Yes",0.998,0.924
"No",0.902,0.966
"No",0.956,0.963
"No",0.949,0.944
"Yes",0.962,0.909
"Yes",0.964,0.912
"No",0.945,0.941
"No",0.935,0.938
"No",0.94,0.964
"No",0.942,0.983
"No",0.953,0.946
"No",0.939,0.901
"No",0.935,0.951
"No",0.939,0.963
"No",0.922,0.996
"No",0.936,0.978
"Yes",0.984,0.901
"No",0.904,0.941
"No",0.932,0.986
"No",0.955,0.981
"No",0.919,0.91
"No",0.944,0.947
"No",0.955,0.986
"No",0.908,0.94
"Yes",0.997,1.001
"No",0.92,0.935
"No",0.947,0.925
"Yes",1,0.918
"No",0.937,0.973
"Yes",0.974,0.901
"No",0.92,0.917
"No",0.952,0.976
"Yes",0.98,0.937
"No",0.933,0.996
"No",0.915,0.952
"No",0.906,0.999
"No",0.955,0.927
"Yes",0.99,0.991
"No",0.952,0.92
"No",0.925,0.979
"Yes",0.966,0.912
"No",0.935,0.932
"Yes",0.993,0.931
"Yes",0.962,0.991
"No",0.938,0.964
"No",0.953,0.912
"No",0.94,0.913
"No",0.951,0.937
"No",0.924,0.999
"No",0.948,0.962
"No",0.921,0.95
"Yes",0.974,0.981
"No",0.906,0.967
"Yes",0.965,0.952
"No",0.932,0.907
"Yes",0.977,0.907
"Yes",0.965,0.906
"No",0.903,0.909
"Yes",0.99,0.995
"No",0.907,0.902
"No",0.96,0.968
"Yes",0.983,0.912
"Yes",1,0.987
"No",0.933,1
"Yes",0.999,0.99
"No",0.944,0.935
"No",0.918,0.956
"No",0.913,0.972
"Yes",0.994,0.93
"Yes",0.984,0.985
"No",0.956,0.911
"No",0.94,0.965
"Yes",0.984,0.983
"No",0.934,0.938
"Yes",0.984,0.952
"No",0.96,0.968
"Yes",0.989,0.994
"Yes",0.972,0.912
"No",0.953,0.981
"Yes",0.976,0.932
"No",0.925,0.989
"Yes",0.997,0.996
"No",0.953,0.984
"No",0.953,0.999
"No",0.938,0.928
"Yes",0.993,0.999
"Yes",0.99,0.907
"No",0.917,0.92
"Yes",0.997,0.966
"No",0.949,0.951
"No",0.954,0.933
"No",0.908,0.936
"Yes",0.969,0.99
"No",0.914,0.949
"No",0.926,1
"No",0.926,0.948
"No",0.94,0.906
"Yes",0.982,0.922
"Yes",0.973,0.968
"No",0.923,0.982
"No",0.92,0.904
"No",0.94,0.976
"Yes",0.966,0.963
"No",0.936,0.9
"No",0.95,0.975
"Yes",0.969,0.908
"No",0.956,0.943
"No",0.939,0.944
"Yes",0.974,0.922
"No",0.954,0.905
"Yes",0.996,0.932
"Yes",0.971,0.906
"No",0.944,0.902
"No",0.912,0.912
"No",0.951,0.959
"No",0.938,0.909
"Yes",0.963,0.926
"No",0.906,0.928
"No",0.944,0.984
"No",0.935,0.999
"Yes",0.986,0.956
"No",0.94,0.924
"Yes",0.991,0.993
"No",0.909,0.951
"No",0.926,0.999
"Yes",0.999,0.919
"Yes",0.964,0.912
"No",0.944,0.94
"Yes",0.972,0.931
"No",0.932,0.964
"No",0.952,0.995
"Yes",0.991,0.943
"Yes",0.973,0.936
"No",0.902,0.927
"Yes",0.967,0.957
"No",0.918,0.9
"Yes",0.989,0.915
"Yes",0.998,0.986
"No",0.939,0.965
"Yes",0.992,0.907
"Yes",0.985,0.905
"Yes",0.991,0.968
"Yes",0.97,0.93
"No",0.903,0.93
"No",0.921,0.982
"No",0.91,0.983
"Yes",0.965,0.936
"No",0.924,0.963
"Yes",0.995,0.974
"No",0.929,0.963
"Yes",0.961,0.961
"No",0.92,0.913
"No",0.94,0.937
"No",0.96,0.972
"No",0.926,0.942
"No",0.941,0.987
"No",0.906,0.905
"No",0.91,0.924
"No",0.919,0.959
"No",0.925,0.958
"Yes",0.979,0.956
"Yes",0.999,0.928
"Yes",0.981,0.915
"No",0.911,0.983
"No",0.951,0.909
"No",0.902,0.978
"Yes",0.965,0.933
"No",0.95,0.931
"No",0.921,0.988
"Yes",0.965,0.978
"No",0.954,0.968
"No",0.933,0.959
"No",0.955,0.987
"Yes",0.979,0.948
"Yes",0.981,0.928
"No",0.943,0.945
"No",0.935,0.933
"Yes",1,0.966
"No",0.959,0.905
"Yes",0.992,0.925
"No",0.953,0.964
"No",0.953,0.948
"No",0.917,0.973
"Yes",0.969,0.945
"No",0.955,0.934
"Yes",0.987,0.975
"No",0.938,0.995
"Yes",0.98,0.904
"No",0.921,0.958
"No",0.959,0.935
"No",0.958,0.957
"No",0.921,0.917
"Yes",0.977,0.958
"Yes",0.986,0.951
"No",0.921,0.923
"Yes",0.983,0.912
"No",0.96,0.987
"Yes",0.997,0.966
"No",0.912,0.952
"Yes",0.989,0.955
"Yes",0.995,0.955
"No",0.958,0.912
"No",0.931,0.937
"No",0.913,0.942
"Yes",0.965,0.96
"Yes",0.995,0.905
"Yes",0.988,0.931
"No",0.904,0.923
"No",0.943,0.926
"Yes",0.988,0.907
"No",0.942,0.971
"No",0.906,0.912
"No",0.934,0.938
"No",0.955,0.92
"Yes",0.978,0.925
"No",0.926,0.962
"No",0.944,0.958
"No",0.919,0.916
"Yes",0.981,0.936
"Yes",0.978,0.91
"No",0.928,0.943
"Yes",0.994,0.922
"Yes",0.965,0.948
"Yes",0.993,0.962
"No",0.929,0.958
"No",0.941,0.978
"No",0.957,0.926
"No",0.951,0.937
"No",0.924,0.993
"No",0.901,0.981
"No",0.95,0.907
"Yes",0.992,0.981
"Yes",0.969,0.9
"Yes",0.996,0.975
"No",0.95,0.987
"Yes",0.995,0.927
"Yes",0.98,0.918
"Yes",0.978,0.969
"No",0.908,0.967
"Yes",0.996,0.997
"No",0.944,0.92
"No",0.957,0.997
"Yes",0.971,0.929
"Yes",0.988,0.947
"No",0.924,0.959
"Yes",0.987,0.927
"No",0.911,0.937
"Yes",0.976,0.947
"Yes",0.984,0.921
"No",0.96,0.968
"No",0.919,0.985
"No",0.921,0.928
"No",0.92,0.954
"Yes",0.997,0.928
"Yes",0.97,0.929
"No",0.919,0.956
"No",0.93,0.954
"Yes",0.961,0.962
"Yes",0.986,0.972
"Yes",0.972,0.955
"No",0.933,0.936
"Yes",1.001,0.937
"No",0.959,0.906
"No",0.918,0.98
"Yes",0.977,0.95
"No",0.952,0.984
"Yes",0.977,0.908
"Yes",0.961,1.001
"No",0.902,0.904
"Yes",0.978,0.921
"Yes",0.975,0.91
"No",0.941,0.979
"No",0.903,0.993
"No",0.907,0.957
"No",0.904,0.934
"No",0.955,0.963
"No",0.929,0.925
"No",0.91,0.904
"No",0.958,0.916
"No",0.951,0.945
"Yes",0.989,0.926
"Yes",0.984,0.903
"No",0.906,0.981
"Yes",0.984,0.964
"Yes",0.965,0.907
"Yes",0.974,0.919
"No",0.932,0.968
"Yes",0.997,0.975
"No",0.936,0.94
"No",0.949,0.948
"No",0.93,0.935
"Yes",0.995,0.903
"Yes",0.985,0.979
"Yes",0.971,0.902
"Yes",0.961,0.979
"Yes",0.998,0.908
"Yes",0.967,0.975
"Yes",0.966,0.989
"No",0.905,0.934
"Yes",0.982,0.924
"No",0.956,0.95
"No",0.931,0.982
"Yes",0.974,0.956
"Yes",0.983,0.924
"No",0.917,0.914
"No",0.932,0.921
"No",0.938,0.984
"No",0.939,0.963
"No",0.939,0.933
"No",0.944,0.95
"No",0.902,0.984
"Yes",0.994,0.964
"No",0.917,0.987
"Yes",0.964,0.979
"Yes",0.961,0.905
"Yes",0.982,0.958
"Yes",0.999,0.935
"No",0.956,0.964
"No",0.912,0.987
"No",0.956,0.921
"No",0.948,0.983
"Yes",0.966,0.919
"No",0.922,0.955
"No",0.958,0.956
"No",0.919,0.929
"Yes",0.974,0.962
"No",0.944,0.973
"No",0.954,0.995
"No",0.949,0.941
"No",0.908,1
"No",0.905,0.976
"Yes",0.996,0.919
"Yes",0.98,0.95
"Yes",0.964,0.933
"No",0.952,0.92
"No",0.96,0.972
"No",0.938,0.967
"No",0.923,0.945
"No",0.901,0.921
"No",0.909,0.906
"Yes",0.98,0.955
"No",0.911,0.964
"No",0.951,0.956
"Yes",0.964,0.93
"No",0.927,0.944
"No",0.922,0.95
"Yes",0.967,0.943
"No",0.935,0.911
"No",0.935,0.984
"No",0.945,0.911
"No",0.941,0.984
"No",0.951,0.928
"No",0.929,0.907
"Yes",0.984,0.945
"No",0.953,0.993
"No",0.955,0.901
"No",0.95,0.924
"Yes",0.977,0.966
"Yes",0.997,0.984
"No",0.925,0.903
"Yes",0.992,0.96
"Yes",0.977,0.957
"No",0.946,0.999
"Yes",0.994,0.947
"Yes",0.992,1
"No",0.95,0.989
"No",0.939,0.923
"No",0.952,0.94
"No",0.909,0.981
"No",0.926,0.907
"Yes",0.982,0.979
"Yes",0.961,0.987
"No",0.902,0.944
"No",0.947,0.917
"No",0.935,0.969
"Yes",0.989,0.992
"Yes",0.976,0.907
"No",0.951,0.988
"No",0.957,0.961
"No",0.929,0.972
"Yes",0.97,0.956
"No",0.923,0.929
"Yes",0.986,0.937
"No",0.935,0.977
"Yes",0.965,0.955
"No",0.921,0.929
"No",0.92,0.918
"No",0.908,0.931
"Yes",0.996,0.914
"No",0.906,0.964
"No",0.908,0.966
"No",0.956,0.906
"No",0.956,0.905
"No",0.948,0.989
"No",0.957,0.997
"Yes",0.972,0.966
"Yes",0.973,0.973
"Yes",0.996,0.964
"No",0.917,0.948
"Yes",0.987,0.941
"No",0.939,0.958
"No",0.934,0.949
"No",0.947,0.987
"No",0.939,0.945
"Yes",0.976,0.95
"No",0.937,0.956
"No",0.929,0.978
"No",0.901,0.906
"Yes",0.961,0.933
"No",0.939,0.927
"No",0.901,0.924
"Yes",0.966,0.933
"No",0.926,0.945
"No",0.94,0.944
"No",0.916,0.926
"No",0.937,0.982
"No",0.921,0.913
"No",0.903,0.999
"No",0.933,0.962
"Yes",0.995,0.988
"No",0.918,0.915
"Yes",0.993,0.935
"Yes",0.966,0.982
"Yes",0.969,0.943
"No",0.942,0.991
"No",0.917,0.908
"No",0.96,0.953
"Yes",0.996,0.99
"No",0.954,0.929
"Yes",0.997,0.907
"Yes",0.966,0.916
"No",0.935,0.997
"No",0.939,0.981
"Yes",0.981,0.966
"Yes",0.992,0.951
"No",0.934,0.915
"Yes",0.978,0.949
"No",0.906,1
"Yes",0.964,0.987
"No",0.923,0.974
"No",0.955,0.966
"Yes",0.991,0.991
"Yes",0.987,0.93
"Yes",0.961,0.962
"No",0.909,0.909
"No",0.928,0.995
"No",0.942,0.968
"No",0.955,0.943
"No",0.905,0.978
"No",0.942,1
"No",0.92,0.999
"Yes",0.973,0.956
"No",0.928,0.945
"No",0.928,0.937
"Yes",0.964,0.983
"Yes",0.962,0.928
"No",0.934,0.92
"No",0.959,0.901
"No",0.911,0.972
"Yes",0.987,0.975
"No",0.95,0.923
"No",0.929,0.995
"No",0.96,0.991
"No",0.911,0.921
"Yes",0.977,0.971
"No",0.96,0.959
"No",0.92,0.92
"Yes",0.97,0.923
"Yes",0.994,0.925
"Yes",0.968,0.925
"Yes",0.977,0.943
"No",0.943,0.902
"No",0.942,0.982
"Yes",0.988,0.958
"Yes",0.983,0.954
"No",0.921,0.951
"Yes",0.989,0.988
"No",0.921,0.925
"No",0.932,0.979
"No",0.958,0.951
"No",0.917,0.913
"No",0.931,0.974
"Yes",0.988,0.95
"No",0.944,0.922
"Yes",0.962,0.982
"Yes",0.976,0.907
"No",0.909,0.972
"No",0.913,0.948
"Yes",0.97,0.902
"No",0.953,0.963
"Yes",0.977,0.902
"Yes",0.983,0.962
"No",0.911,0.945
"No",0.909,0.979
"No",0.925,0.956
"No",0.931,0.936
"No",0.904,0.96
"No",0.937,0.994
"Yes",0.962,0.931
"No",0.9,0.961
"No",0.915,0.937
"No",0.951,0.911
"No",0.931,0.918
"No",0.926,0.916
"Yes",0.976,0.949
"Yes",0.996,0.96
"Yes",0.971,0.978
"Yes",0.976,0.96
"No",0.91,0.944
"No",0.951,0.984
"Yes",0.978,0.915
"Yes",0.972,0.904
"Yes",0.965,0.905
