Purchased,Discount,DaytoTravel,NoOfPassange,TravelTime,DOW,TimeOfDay,FreFlyer,ReturnTicket
YES,26,2,4,8,Friday,Afternoon,No,No
YES,22,11,2,3,Friday,Afternoon,No,No
No,31,5,1,8,Wednesday,Forenoon,No,No
No,28,8,3,8,Friday,Afternoon,No,No
No,28,15,4,8,Wednesday,Forenoon,No,No
YES,21,12,0,3,Thursday,Forenoon,No,No
No,33,5,3,8,Wednesday,Morning,No,No
YES,16,2,2,7,Sunday,Overnight,No,Yes
YES,36,11,0,8,Friday,Afternoon,No,No
No,31,14,3,5,Wednesday,Forenoon,No,No
YES,34,8,4,9,Tuesday,Morning,No,No
No,27,12,4,5,Sunday,Overnight,No,Yes
YES,18,12,1,7,Saturday,Evening,No,No
No,20,10,3,7,Tuesday,Morning,No,No
No,32,14,4,5,Wednesday,Forenoon,No,No
No,18,2,4,5,Saturday,Evening,No,Yes
YES,16,11,4,9,Friday,Afternoon,No,No
YES,28,2,4,4,Wednesday,Forenoon,No,No
No,30,15,1,9,Tuesday,Morning,No,No
YES,24,12,5,7,Monday,Early Morning,Yes,No
No,25,19,1,5,Saturday,Evening,No,No
YES,24,18,3,5,Saturday,Evening,No,No
YES,13,10,3,8,Thursday,Forenoon,No,No
No,27,7,4,1,Sunday,Overnight,No,Yes
No,33,14,0,6,Sunday,Overnight,No,Yes
No,17,12,5,6,Friday,Evening,No,No
YES,25,7,2,6,Sunday,Overnight,No,Yes
YES,28,9,1,9,Monday,Early Morning,Yes,No
YES,27,2,5,1,Thursday,Afternoon,No,No
YES,19,16,1,2,Monday,Early Morning,Yes,No
YES,30,9,3,10,Tuesday,Early Morning,No,No
YES,26,13,3,5,Monday,Early Morning,Yes,No
YES,35,10,1,3,Sunday,Overnight,No,Yes
YES,26,14,2,4,Friday,Afternoon,No,No
YES,26,4,3,4,Monday,Early Morning,No,No
No,26,15,4,8,Tuesday,Morning,No,No
No,21,2,3,2,Saturday,Evening,No,No
No,29,13,1,8,Tuesday,Morning,No,No
YES,27,14,4,8,Saturday,Evening,No,No
YES,23,2,3,2,Friday,Evening,No,No
No,23,5,1,8,Tuesday,Morning,No,No
No,24,19,4,1,Thursday,Forenoon,No,No
YES,16,8,1,4,Saturday,Evening,No,No
YES,31,8,3,5,Sunday,Overnight,No,Yes
No,26,12,1,7,Tuesday,Morning,No,No
YES,24,15,3,2,Saturday,Evening,No,No
YES,29,19,5,3,Monday,Early Morning,Yes,No
YES,23,19,5,6,Saturday,Evening,No,No
YES,23,16,1,4,Monday,Early Morning,Yes,No
YES,35,12,2,5,Saturday,Evening,No,No
YES,22,3,0,10,Monday,Early Morning,Yes,No
No,25,3,4,6,Wednesday,Forenoon,No,No
YES,20,16,4,5,Monday,Early Morning,No,No
YES,27,15,3,2,Friday,Afternoon,No,No
YES,28,13,3,10,Tuesday,Morning,No,No
YES,29,15,4,9,Friday,Afternoon,No,No
YES,24,15,3,4,Wednesday,Forenoon,No,No
YES,16,16,3,3,Friday,Afternoon,No,No
No,30,14,0,3,Friday,Evening,No,No
No,19,16,1,8,Saturday,Evening,No,Yes
No,19,5,1,6,Saturday,Evening,No,Yes
YES,24,3,5,2,Monday,Early Morning,No,No
YES,20,10,1,1,Monday,Early Morning,Yes,No
YES,20,8,1,9,Friday,Afternoon,No,No
YES,23,1,2,4,Tuesday,Morning,No,No
YES,23,10,4,10,Sunday,Overnight,No,Yes
No,28,7,1,4,Tuesday,Morning,No,No
YES,20,12,0,8,Friday,Afternoon,No,No
YES,20,13,1,2,Monday,Early Morning,No,No
No,23,12,1,5,Saturday,Evening,No,No
No,32,14,0,8,Wednesday,Forenoon,No,No
YES,27,9,4,3,Thursday,Forenoon,No,No
YES,20,19,3,4,Monday,Early Morning,Yes,No
YES,24,12,1,2,Sunday,Overnight,No,Yes
No,31,19,0,5,Tuesday,Morning,No,No
No,18,12,2,9,Saturday,Evening,No,No
No,20,8,1,9,Tuesday,Morning,No,No
YES,24,11,1,7,Friday,Afternoon,No,No
YES,28,10,4,8,Monday,Early Morning,Yes,No
YES,31,5,1,9,Tuesday,Morning,No,No
No,27,14,5,6,Saturday,Overnight,No,Yes
YES,31,5,0,9,Saturday,Evening,No,No
YES,27,5,5,7,Monday,Early Morning,No,No
YES,24,3,3,5,Monday,Early Morning,No,No
No,31,10,3,5,Thursday,Forenoon,No,No
YES,33,11,2,10,Friday,Afternoon,No,No
No,29,17,2,5,Thursday,Forenoon,No,No
YES,24,12,4,4,Monday,Early Morning,No,No
No,28,17,2,7,Saturday,Evening,No,No
No,30,13,1,8,Tuesday,Morning,No,No
No,18,18,3,5,Tuesday,Morning,No,No
No,27,12,2,4,Wednesday,Forenoon,No,No
No,28,10,2,8,Saturday,Evening,No,Yes
YES,24,11,4,3,Tuesday,Early Morning,No,No
No,17,18,1,4,Wednesday,Morning,No,No
YES,34,6,4,10,Monday,Early Morning,Yes,No
No,29,5,0,10,Saturday,Evening,No,No
YES,26,3,1,3,Tuesday,Morning,No,No
No,20,12,1,2,Friday,Evening,No,No
YES,32,19,2,5,Thursday,Afternoon,No,No
YES,20,6,0,6,Sunday,Overnight,No,Yes
YES,29,7,0,8,Sunday,Overnight,No,Yes
YES,20,19,5,7,Friday,Evening,No,No
YES,30,4,3,7,Sunday,Overnight,No,Yes
No,27,9,3,6,Tuesday,Morning,No,No
YES,26,3,2,3,Saturday,Evening,No,No
No,26,12,2,2,Tuesday,Morning,No,No
No,30,4,1,4,Wednesday,Forenoon,No,No
YES,22,13,3,5,Sunday,Overnight,No,Yes
YES,25,8,2,2,Tuesday,Morning,No,No
YES,28,15,0,5,Monday,Early Morning,No,No
YES,15,17,1,6,Saturday,Evening,No,No
YES,25,5,4,2,Saturday,Evening,No,No
No,19,6,4,8,Friday,Afternoon,No,No
No,29,4,4,3,Wednesday,Forenoon,No,No
No,22,18,5,3,Wednesday,Forenoon,No,No
No,19,10,4,6,Tuesday,Morning,No,No
YES,30,6,3,5,Monday,Early Morning,Yes,No
No,26,4,4,6,Saturday,Evening,No,No
No,21,15,2,10,Wednesday,Morning,No,No
YES,21,9,0,8,Monday,Early Morning,Yes,No
YES,25,13,0,10,Monday,Early Morning,Yes,No
YES,20,12,3,7,Saturday,Evening,No,No
YES,26,2,4,10,Friday,Afternoon,No,No
YES,37,8,4,6,Sunday,Overnight,No,Yes
No,21,16,2,2,Saturday,Evening,No,No
YES,26,17,5,9,Wednesday,Forenoon,No,No
YES,26,15,0,9,Monday,Early Morning,Yes,No
YES,23,19,4,7,Thursday,Forenoon,No,No
No,24,2,5,6,Tuesday,Morning,No,No
YES,19,18,3,5,Thursday,Afternoon,No,No
YES,22,1,5,4,Tuesday,Morning,No,No
YES,18,10,2,3,Wednesday,Morning,No,No
No,17,17,4,5,Thursday,Afternoon,No,No
YES,19,10,0,5,Wednesday,Forenoon,No,No
YES,32,13,3,4,Saturday,Evening,No,No
No,34,7,3,2,Wednesday,Morning,No,No
YES,24,18,2,6,Monday,Early Morning,Yes,No
YES,28,15,5,7,Sunday,Overnight,No,Yes
YES,17,10,5,6,Sunday,Overnight,No,Yes
No,26,8,4,8,Saturday,Evening,No,No
YES,25,10,2,4,Sunday,Overnight,No,Yes
No,19,10,1,6,Saturday,Evening,No,No
YES,23,5,5,9,Sunday,Overnight,No,Yes
YES,16,4,3,2,Sunday,Overnight,No,Yes
YES,27,6,3,4,Monday,Early Morning,Yes,No
YES,21,7,3,3,Tuesday,Morning,No,No
No,22,8,3,3,Tuesday,Morning,No,No
No,21,3,1,3,Sunday,Overnight,No,Yes
No,27,12,3,6,Wednesday,Forenoon,No,No
No,33,9,3,5,Wednesday,Morning,No,No
YES,25,8,4,9,Sunday,Overnight,No,Yes
YES,26,14,0,2,Monday,Early Morning,No,No
YES,18,6,1,6,Monday,Early Morning,No,No
YES,12,5,3,9,Friday,Afternoon,No,No
No,27,18,1,3,Wednesday,Forenoon,No,No
YES,25,2,4,5,Thursday,Forenoon,No,No
YES,28,12,4,4,Sunday,Overnight,No,Yes
No,27,18,3,8,Monday,Early Morning,Yes,No
YES,25,11,5,8,Monday,Early Morning,Yes,No
No,20,15,5,9,Tuesday,Early Morning,No,No
No,26,17,3,7,Friday,Afternoon,No,No
YES,16,19,2,5,Tuesday,Morning,No,No
No,18,3,0,7,Wednesday,Forenoon,No,No
YES,29,20,5,9,Tuesday,Early Morning,No,No
YES,19,20,4,9,Friday,Afternoon,No,No
YES,28,3,2,1,Wednesday,Morning,No,No
No,21,11,3,5,Tuesday,Morning,No,No
No,26,3,3,6,Saturday,Evening,No,Yes
YES,22,9,4,3,Monday,Early Morning,Yes,No
No,36,9,5,8,Sunday,Overnight,No,Yes
No,32,6,4,6,Thursday,Forenoon,No,No
No,28,18,1,5,Saturday,Evening,No,Yes
No,29,1,2,3,Thursday,Afternoon,No,No
YES,28,11,0,7,Friday,Afternoon,No,No
YES,25,15,4,2,Sunday,Overnight,No,Yes
No,26,3,2,3,Friday,Evening,No,No
No,33,17,2,5,Saturday,Evening,No,Yes
YES,23,19,2,3,Monday,Early Morning,Yes,No
YES,26,14,5,10,Thursday,Afternoon,No,No
No,29,8,2,2,Wednesday,Forenoon,No,No
YES,26,8,4,9,Monday,Early Morning,Yes,No
No,15,9,3,7,Wednesday,Morning,No,No
YES,23,7,2,9,Saturday,Evening,No,No
YES,22,10,1,4,Sunday,Overnight,No,Yes
YES,18,18,4,3,Thursday,Afternoon,No,No
YES,28,16,2,8,Sunday,Overnight,No,Yes
YES,30,8,5,4,Friday,Afternoon,No,No
YES,24,17,3,2,Thursday,Forenoon,No,No
No,27,19,2,7,Wednesday,Forenoon,No,No
YES,33,7,1,2,Friday,Afternoon,No,No
YES,25,7,0,3,Thursday,Forenoon,No,No
No,20,18,2,9,Wednesday,Morning,No,No
YES,31,19,5,8,Thursday,Afternoon,No,No
YES,25,13,1,8,Monday,Early Morning,No,No
No,22,2,0,5,Sunday,Overnight,No,Yes
YES,26,16,1,3,Sunday,Overnight,No,Yes
YES,21,19,3,4,Sunday,Overnight,No,Yes
YES,29,3,4,5,Monday,Early Morning,Yes,No
No,27,17,2,5,Friday,Afternoon,No,No
YES,30,16,2,6,Friday,Evening,No,No
YES,26,4,4,3,Friday,Afternoon,No,No
YES,34,8,0,9,Thursday,Afternoon,No,No
YES,23,17,2,5,Sunday,Overnight,No,Yes
No,21,8,2,9,Wednesday,Forenoon,No,No
No,28,1,4,9,Tuesday,Morning,No,No
No,24,17,3,2,Friday,Evening,No,No
YES,28,20,3,8,Friday,Afternoon,No,No
No,26,16,1,6,Wednesday,Forenoon,No,No
No,24,5,2,6,Tuesday,Morning,No,No
No,21,9,3,3,Friday,Afternoon,No,No
No,17,18,3,7,Tuesday,Morning,No,No
No,30,3,3,5,Tuesday,Morning,No,No
No,23,19,1,6,Wednesday,Forenoon,No,No
YES,16,4,2,8,Tuesday,Morning,No,No
YES,22,12,2,4,Saturday,Evening,No,Yes
YES,24,19,1,4,Tuesday,Early Morning,No,No
YES,30,20,3,9,Saturday,Evening,No,No
YES,19,11,1,4,Sunday,Overnight,No,Yes
YES,24,11,4,10,Sunday,Overnight,No,Yes
No,24,7,4,4,Tuesday,Morning,No,No
No,19,16,1,8,Sunday,Overnight,No,Yes
No,26,17,2,2,Saturday,Evening,No,Yes
YES,26,18,3,3,Tuesday,Morning,No,No
YES,19,6,1,9,Monday,Early Morning,No,No
YES,21,18,2,2,Monday,Early Morning,Yes,No
YES,29,6,0,7,Thursday,Forenoon,No,No
YES,20,18,1,2,Monday,Early Morning,No,No
YES,23,8,4,9,Tuesday,Early Morning,No,No
YES,29,18,0,3,Monday,Early Morning,Yes,No
YES,25,19,3,6,Thursday,Afternoon,No,No
YES,22,18,1,4,Monday,Early Morning,No,No
No,29,17,2,6,Wednesday,Forenoon,No,No
YES,27,12,1,7,Sunday,Overnight,No,Yes
No,25,13,3,8,Wednesday,Morning,No,No
No,17,19,2,6,Monday,Early Morning,Yes,No
No,21,20,2,4,Saturday,Evening,No,Yes
YES,20,15,1,7,Friday,Afternoon,No,No
No,16,3,3,8,Sunday,Overnight,No,Yes
YES,21,17,2,4,Monday,Early Morning,Yes,No
YES,30,20,3,3,Thursday,Forenoon,No,No
No,25,19,2,9,Thursday,Afternoon,No,No
No,22,13,1,7,Saturday,Evening,No,Yes
YES,17,10,2,4,Friday,Afternoon,No,No
No,22,15,2,3,Wednesday,Forenoon,No,No
YES,31,7,5,7,Monday,Early Morning,No,No
No,34,4,2,4,Wednesday,Forenoon,No,No
No,31,4,2,4,Saturday,Evening,No,No
No,28,4,1,4,Saturday,Evening,No,No
No,25,8,0,9,Friday,Afternoon,No,No
YES,17,5,2,9,Monday,Early Morning,Yes,No
YES,31,5,0,5,Monday,Early Morning,Yes,No
YES,25,17,2,7,Monday,Early Morning,No,No
YES,24,9,1,4,Sunday,Overnight,No,Yes
No,20,7,2,2,Saturday,Evening,No,Yes
No,23,7,4,9,Tuesday,Morning,No,No
No,20,19,3,9,Thursday,Forenoon,No,No
YES,27,16,3,1,Saturday,Evening,No,No
No,34,2,0,3,Tuesday,Morning,No,No
No,25,15,1,8,Saturday,Evening,No,Yes
No,26,4,4,3,Tuesday,Morning,No,No
YES,33,6,2,3,Friday,Afternoon,No,No
No,22,13,3,3,Thursday,Forenoon,No,No
YES,19,3,2,3,Friday,Afternoon,No,No
No,20,1,1,8,Tuesday,Morning,No,No
YES,16,15,0,5,Tuesday,Early Morning,No,No
No,36,14,1,6,Saturday,Evening,No,No
YES,24,9,1,6,Monday,Early Morning,Yes,No
No,33,5,2,6,Sunday,Overnight,No,Yes
No,24,17,3,4,Wednesday,Forenoon,No,No
YES,28,6,5,2,Thursday,Afternoon,No,No
YES,19,9,3,6,Sunday,Overnight,No,Yes
YES,29,17,4,4,Sunday,Overnight,No,Yes
No,25,9,5,9,Tuesday,Morning,No,No
YES,23,15,5,4,Thursday,Forenoon,No,No
No,26,20,4,2,Saturday,Evening,No,No
No,31,12,3,6,Wednesday,Forenoon,No,No
No,22,14,3,8,Sunday,Overnight,No,Yes
YES,27,10,4,7,Sunday,Overnight,No,Yes
No,28,18,1,9,Friday,Afternoon,No,No
YES,16,11,1,7,Thursday,Forenoon,No,No
No,19,2,1,4,Wednesday,Morning,No,No
YES,30,6,1,7,Monday,Early Morning,Yes,No
YES,30,5,0,4,Wednesday,Forenoon,No,No
YES,22,14,1,3,Monday,Early Morning,No,No
YES,25,9,1,3,Friday,Afternoon,No,No
YES,29,10,3,9,Sunday,Overnight,No,Yes
No,29,20,4,5,Saturday,Evening,No,No
YES,25,14,2,10,Thursday,Forenoon,No,No
YES,23,16,3,5,Tuesday,Morning,No,No
No,13,18,1,5,Saturday,Evening,No,No
YES,20,5,3,1,Saturday,Evening,No,No
No,24,2,2,4,Tuesday,Morning,No,No
No,23,3,4,9,Wednesday,Morning,No,No
YES,17,9,2,5,Wednesday,Forenoon,No,No
YES,28,17,0,1,Monday,Early Morning,Yes,No
No,35,8,3,4,Sunday,Overnight,No,Yes
YES,18,14,2,2,Monday,Early Morning,Yes,No
No,27,6,3,9,Wednesday,Morning,No,No
YES,20,14,0,2,Thursday,Afternoon,No,No
No,23,11,5,4,Wednesday,Forenoon,No,No
No,34,13,3,6,Saturday,Evening,No,Yes
No,18,16,4,1,Thursday,Afternoon,No,No
YES,26,4,2,5,Saturday,Evening,No,No
No,28,13,3,4,Thursday,Forenoon,No,No
YES,18,13,3,4,Thursday,Afternoon,No,No
YES,22,13,1,9,Tuesday,Morning,No,No
YES,22,9,3,3,Saturday,Evening,No,No
YES,29,9,3,8,Monday,Early Morning,Yes,No
No,29,10,1,7,Friday,Afternoon,No,No
No,22,20,2,7,Tuesday,Morning,No,No
YES,23,11,3,6,Saturday,Evening,No,No
No,24,17,1,10,Wednesday,Forenoon,No,No
YES,28,2,3,7,Wednesday,Forenoon,No,No
No,28,14,2,3,Friday,Evening,No,No
No,23,4,3,9,Thursday,Afternoon,No,No
YES,34,6,5,8,Friday,Afternoon,No,No
YES,22,18,2,8,Sunday,Overnight,No,Yes
No,26,2,1,2,Wednesday,Forenoon,No,No
YES,34,2,3,10,Tuesday,Early Morning,No,No
YES,22,4,4,7,Wednesday,Forenoon,No,No
YES,25,10,3,3,Thursday,Afternoon,No,No
No,40,17,0,2,Saturday,Evening,No,No
No,27,5,4,3,Wednesday,Forenoon,No,No
YES,30,7,3,5,Friday,Afternoon,No,No
No,25,1,2,10,Saturday,Evening,No,Yes
YES,22,16,2,6,Monday,Early Morning,Yes,No
YES,18,19,3,7,Friday,Afternoon,No,No
No,19,16,4,7,Tuesday,Morning,No,No
YES,24,10,4,3,Saturday,Evening,No,No
No,24,19,3,6,Thursday,Afternoon,No,No
No,18,2,3,4,Wednesday,Forenoon,No,No
YES,30,3,5,4,Saturday,Evening,No,No
No,28,9,2,5,Wednesday,Morning,No,No
No,19,12,2,4,Wednesday,Forenoon,No,No
YES,25,16,1,8,Monday,Early Morning,Yes,No
No,26,7,1,5,Tuesday,Morning,No,No
No,28,7,2,9,Tuesday,Early Morning,No,No
No,27,11,3,9,Tuesday,Morning,No,No
YES,23,14,2,6,Tuesday,Morning,No,No
YES,27,1,0,3,Monday,Early Morning,No,No
No,21,13,3,7,Wednesday,Morning,No,No
No,24,2,3,1,Monday,Early Morning,No,No
YES,33,12,4,3,Friday,Evening,No,No
YES,23,16,0,4,Wednesday,Morning,No,No
No,29,19,4,9,Wednesday,Forenoon,No,No
YES,22,3,2,6,Sunday,Overnight,No,Yes
No,21,5,1,2,Tuesday,Morning,No,No
YES,29,4,3,5,Thursday,Afternoon,No,No
No,23,15,1,4,Tuesday,Morning,No,No
YES,27,19,1,6,Wednesday,Forenoon,No,No
No,26,12,4,3,Tuesday,Morning,No,No
YES,24,8,1,2,Thursday,Forenoon,No,No
No,19,8,1,9,Tuesday,Morning,No,No
No,20,7,0,2,Wednesday,Forenoon,No,No
No,31,1,4,5,Tuesday,Morning,No,No
YES,35,2,4,3,Thursday,Afternoon,No,No
No,24,2,0,2,Wednesday,Morning,No,No
YES,21,19,3,5,Thursday,Forenoon,No,No
No,21,15,5,5,Thursday,Forenoon,No,No
YES,26,18,5,4,Wednesday,Forenoon,No,No
YES,30,11,1,6,Tuesday,Morning,No,No
YES,27,7,1,3,Monday,Early Morning,Yes,No
YES,27,16,4,4,Monday,Early Morning,Yes,No
No,28,13,3,3,Thursday,Forenoon,No,No
YES,12,5,1,8,Saturday,Evening,No,Yes
No,22,6,5,10,Friday,Afternoon,No,No
No,39,16,2,6,Friday,Evening,No,No
YES,25,20,3,10,Monday,Early Morning,Yes,No
YES,23,2,1,7,Sunday,Overnight,No,Yes
YES,33,8,5,10,Friday,Afternoon,No,No
No,22,12,5,4,Tuesday,Morning,No,No
No,25,7,3,5,Sunday,Overnight,No,Yes
YES,22,19,4,6,Wednesday,Forenoon,No,No
No,22,13,3,8,Wednesday,Morning,No,No
No,22,5,5,3,Tuesday,Morning,No,No
YES,24,14,4,9,Monday,Early Morning,No,No
YES,27,8,1,2,Sunday,Overnight,No,Yes
YES,27,19,3,3,Friday,Afternoon,No,No
YES,23,9,4,2,Wednesday,Morning,No,No
YES,30,6,2,10,Saturday,Evening,No,Yes
YES,26,15,3,5,Thursday,Forenoon,No,No
No,26,4,0,9,Wednesday,Forenoon,No,No
YES,26,12,1,4,Wednesday,Forenoon,No,No
YES,18,3,2,5,Monday,Early Morning,Yes,No
No,20,18,4,6,Saturday,Evening,No,Yes
No,17,14,1,4,Thursday,Forenoon,No,No
No,32,3,2,1,Thursday,Afternoon,No,No
No,17,11,1,6,Friday,Afternoon,No,No
YES,20,4,3,3,Saturday,Evening,No,No
YES,20,1,1,7,Friday,Evening,No,No
YES,26,6,3,10,Tuesday,Morning,No,No
YES,24,18,3,9,Saturday,Evening,No,Yes
YES,27,4,3,10,Tuesday,Morning,No,No
YES,15,3,2,1,Monday,Early Morning,Yes,No
YES,26,9,3,6,Monday,Early Morning,No,No
No,27,13,1,9,Tuesday,Morning,No,No
No,23,17,3,5,Tuesday,Morning,No,No
No,19,18,1,4,Sunday,Overnight,No,Yes
YES,31,6,4,4,Saturday,Evening,No,Yes
YES,23,15,3,2,Sunday,Overnight,No,Yes
YES,25,10,3,7,Monday,Early Morning,No,No
YES,35,9,3,5,Thursday,Forenoon,No,No
YES,27,11,2,6,Saturday,Evening,No,No
No,20,15,5,6,Wednesday,Morning,No,No
YES,18,7,5,10,Saturday,Evening,No,Yes
YES,32,17,3,6,Monday,Early Morning,Yes,No
YES,20,18,0,5,Sunday,Overnight,No,Yes
YES,36,5,0,9,Friday,Afternoon,No,No
YES,25,15,4,1,Thursday,Forenoon,No,No
YES,21,12,3,6,Sunday,Overnight,No,Yes
YES,25,1,1,1,Monday,Early Morning,Yes,No
No,29,13,4,2,Tuesday,Morning,No,No
No,21,11,2,2,Tuesday,Morning,No,No
YES,27,10,2,5,Saturday,Overnight,No,Yes
No,22,15,4,7,Tuesday,Morning,No,No
YES,21,19,1,4,Friday,Afternoon,No,No
No,22,17,2,5,Friday,Evening,No,No
No,15,14,3,8,Saturday,Overnight,No,Yes
YES,27,1,1,2,Saturday,Overnight,No,Yes
No,24,5,0,6,Saturday,Evening,No,No
No,27,7,3,2,Saturday,Evening,No,No
No,22,3,2,7,Tuesday,Morning,No,No
YES,26,13,2,9,Thursday,Afternoon,No,No
YES,26,15,1,8,Thursday,Forenoon,No,No
No,22,17,5,6,Wednesday,Morning,No,No
No,17,10,2,8,Saturday,Evening,No,No
YES,26,18,1,9,Monday,Early Morning,No,No
YES,21,13,2,2,Saturday,Evening,No,No
No,26,1,4,10,Thursday,Afternoon,No,No
YES,24,1,1,2,Saturday,Evening,No,No
No,29,13,1,5,Tuesday,Morning,No,No
YES,18,15,1,4,Friday,Evening,No,No
YES,34,11,5,6,Thursday,Afternoon,No,No
YES,24,11,2,8,Monday,Early Morning,No,No
No,19,2,4,5,Wednesday,Forenoon,No,No
No,8,16,2,2,Sunday,Overnight,No,Yes
No,26,10,1,5,Wednesday,Forenoon,No,No
No,27,16,3,10,Friday,Afternoon,No,No
No,27,3,3,9,Sunday,Overnight,No,Yes
YES,28,7,5,4,Saturday,Evening,No,No
YES,22,16,1,4,Tuesday,Morning,No,No
YES,25,14,3,8,Sunday,Overnight,No,Yes
YES,27,15,1,8,Monday,Early Morning,No,No
YES,23,8,5,5,Monday,Early Morning,Yes,No
YES,27,7,2,8,Thursday,Forenoon,No,No
No,19,15,0,7,Wednesday,Forenoon,No,No
YES,29,18,2,8,Saturday,Evening,No,No
YES,23,12,1,6,Saturday,Evening,No,No
YES,27,16,2,9,Sunday,Overnight,No,Yes
YES,35,2,3,7,Thursday,Afternoon,No,No
YES,26,19,4,6,Friday,Afternoon,No,No
YES,27,9,5,3,Monday,Early Morning,Yes,No
YES,26,18,4,3,Sunday,Overnight,No,Yes
No,21,16,4,5,Saturday,Evening,No,Yes
YES,24,2,1,2,Wednesday,Morning,No,No
YES,20,7,2,5,Saturday,Evening,No,Yes
YES,16,16,4,6,Monday,Early Morning,No,No
YES,27,10,4,4,Thursday,Afternoon,No,No
YES,23,10,2,5,Saturday,Overnight,No,Yes
No,24,7,2,4,Tuesday,Morning,No,No
YES,28,4,1,7,Monday,Early Morning,Yes,No
YES,24,16,4,10,Sunday,Overnight,No,Yes
YES,21,16,1,2,Sunday,Overnight,No,Yes
No,18,11,4,4,Sunday,Overnight,No,Yes
YES,20,15,3,8,Saturday,Evening,No,No
YES,21,5,2,6,Monday,Early Morning,Yes,No
No,24,16,1,10,Sunday,Overnight,No,Yes
No,23,19,0,10,Wednesday,Forenoon,No,No
No,21,19,0,3,Thursday,Afternoon,No,No
YES,27,18,1,9,Friday,Afternoon,No,No
YES,24,5,2,7,Monday,Early Morning,Yes,No
No,22,13,1,8,Friday,Evening,No,No
No,23,17,1,4,Tuesday,Morning,No,No
YES,14,13,2,9,Thursday,Forenoon,No,No
YES,24,18,2,5,Sunday,Overnight,No,Yes
No,25,17,4,3,Saturday,Evening,No,Yes
YES,24,18,3,7,Tuesday,Morning,No,No
YES,18,7,3,5,Friday,Afternoon,No,No
No,24,19,1,8,Tuesday,Morning,No,No
No,28,14,2,2,Thursday,Forenoon,No,No
YES,27,14,2,2,Wednesday,Morning,No,No
YES,27,17,3,3,Wednesday,Forenoon,No,No
YES,30,8,0,4,Sunday,Overnight,No,Yes
YES,22,5,5,7,Sunday,Overnight,No,Yes
YES,26,11,1,1,Friday,Afternoon,No,No
YES,27,12,1,5,Saturday,Evening,No,Yes
No,17,10,2,9,Wednesday,Forenoon,No,No
YES,28,11,3,7,Tuesday,Morning,No,No
No,15,17,5,5,Wednesday,Forenoon,No,No
No,18,12,2,5,Wednesday,Morning,No,No
No,27,11,3,3,Sunday,Overnight,No,Yes
YES,28,4,0,5,Friday,Evening,No,No
YES,16,3,5,2,Thursday,Afternoon,No,No
YES,37,18,4,4,Sunday,Overnight,No,Yes
YES,24,17,4,6,Wednesday,Forenoon,No,No
YES,21,10,5,4,Wednesday,Forenoon,No,No
YES,25,8,1,2,Monday,Early Morning,Yes,No
No,21,5,2,2,Thursday,Forenoon,No,No
YES,26,17,4,9,Monday,Early Morning,No,No
YES,27,15,5,3,Monday,Early Morning,No,No
YES,30,14,3,3,Monday,Early Morning,No,No
No,21,19,1,3,Wednesday,Forenoon,No,No
No,20,17,1,9,Saturday,Evening,No,No
No,27,18,3,7,Saturday,Evening,No,No
YES,26,11,2,7,Monday,Early Morning,Yes,No
YES,29,20,4,9,Thursday,Forenoon,No,No
YES,27,8,4,3,Friday,Evening,No,No
YES,32,13,0,7,Thursday,Forenoon,No,No
YES,22,13,1,2,Tuesday,Morning,No,No
YES,30,10,2,6,Thursday,Afternoon,No,No
YES,25,3,3,8,Thursday,Forenoon,No,No
YES,21,12,3,6,Monday,Early Morning,Yes,No
No,29,19,3,10,Sunday,Overnight,No,Yes
YES,30,1,0,9,Sunday,Overnight,No,Yes
No,21,14,4,3,Friday,Evening,No,No
No,34,6,2,4,Tuesday,Morning,No,No
YES,25,18,1,9,Friday,Evening,No,No
YES,36,16,2,9,Monday,Early Morning,Yes,No
YES,25,12,1,5,Wednesday,Morning,No,No
YES,24,7,1,10,Monday,Early Morning,Yes,No
No,14,10,4,8,Sunday,Overnight,No,Yes
YES,17,18,5,6,Sunday,Overnight,No,Yes
YES,25,4,5,2,Saturday,Evening,No,No
No,30,7,4,2,Monday,Early Morning,No,No
YES,25,16,5,7,Monday,Early Morning,Yes,No
YES,26,8,1,4,Sunday,Overnight,No,Yes
No,32,12,2,4,Saturday,Evening,No,No
No,25,12,4,5,Wednesday,Forenoon,No,No
YES,17,9,3,6,Sunday,Overnight,No,Yes
No,26,15,2,3,Tuesday,Morning,No,No
YES,20,12,1,6,Monday,Early Morning,Yes,No
YES,21,8,1,10,Monday,Early Morning,Yes,No
YES,26,15,1,2,Saturday,Evening,No,No
YES,26,2,3,8,Friday,Afternoon,No,No
YES,22,7,2,4,Wednesday,Forenoon,No,No
No,22,17,5,4,Wednesday,Forenoon,No,No
YES,20,12,1,7,Saturday,Evening,No,No
YES,26,4,1,4,Saturday,Evening,No,No
YES,15,7,1,6,Tuesday,Morning,No,No
YES,20,4,4,3,Wednesday,Forenoon,No,No
YES,30,7,1,6,Friday,Afternoon,No,No
No,31,6,0,1,Thursday,Forenoon,No,No
YES,26,12,0,5,Saturday,Evening,No,Yes
No,31,17,2,3,Friday,Evening,No,No
No,22,15,2,8,Tuesday,Morning,No,No
YES,26,17,1,5,Wednesday,Forenoon,No,No
No,25,15,3,2,Friday,Evening,No,No
YES,24,19,1,3,Thursday,Forenoon,No,No
No,33,16,1,5,Tuesday,Morning,No,No
